Code,1-Yield_C_Mean,2-BD_C_Mean,3-OC_C_Mean,4-N_C_Mean,5-Aggre_C_Mean,6-Infiltration_C_Mean,7-Ksat_C_Mean,8-Erosion_C_Mean,9-Runoff_C_Mean,10-Leaching_C_Mean,11-Weed_C_Mean,12-MBC_C_Mean,13-MBN_C_Mean
Temperate_Corn_Grass_Coarse,0.772468856,-0.087907799,12.27395786,-8.098096688,8.156771661,80.31104113,58.27096275,-75.24562977,-6.742495604,-15.19702681,-33.65478747,5.965366595,13.99345874
Temperate_Corn_Grass_Fine,-9.151466499,-1.371046588,11.07314713,3.981926263,14.50145874,43.14484665,58.27096275,-75.24562977,-6.742495604,-51.76664989,-33.65478747,22.85978032,36.58121912
Temperate_Corn_Grass_Medium,5.602174676,-1.416346574,3.515582996,-36.88151392,26.86577417,106.1619006,57.65011533,-75.24562977,-6.7697279,-81.38332057,-33.65478747,9.078522511,44.59270449
Temperate_Corn_Grass_NotAvailable,5.967432043,-0.784996079,4.534904295,-7.197268111,5.60134483,80.31104113,58.27096275,-75.24562977,-6.742495604,-45.0885915,-33.65478747,9.410299109,16.49081648
Temperate_Corn_Legume_Coarse,11.80411124,-4.594249634,24.18431053,68.86246758,-8.947554337,87.6263052,133.4397531,-75.24562977,-6.742495604,-14.63484051,-96.80786684,-2.020076329,28.14456809
Temperate_Corn_Legume_Fine,55.91684369,-5.560089558,15.63116263,12.6362568,6.932525023,70.09844861,133.4397531,-75.24562977,-6.742495604,-61.83925116,-96.80786684,16.76865251,20.12071025
Temperate_Corn_Legume_Medium,54.88234051,-0.249190798,4.544725515,25.09280983,34.07232935,129.0155316,133.4397531,-75.24562977,-6.742495604,-32.08339569,-96.80786684,17.189191,110.3772966
Temperate_Corn_Legume_NotAvailable,59.68659145,-1.763368426,4.231730456,18.09009131,5.60134483,88.23657666,133.4397531,-75.24562977,-6.742495604,47.43421752,-96.73775644,16.44832819,33.25267695
Temperate_Corn_MTT_Coarse,6.02231542,-1.113495839,33.19569395,93.54723781,17.97130226,80.96705564,68.8916613,-75.24562977,-6.742495604,-14.63484051,-26.79103077,35.31671009,25.70598677
Temperate_Corn_MTT_Fine,5.876391196,-4.359221671,20.75961274,27.2335517,38.32647356,80.96705564,68.8916613,-75.24562977,-6.742495604,-61.83925116,-26.79103077,60.37009122,17.91889527
Temperate_Corn_MTT_Medium,5.876391196,-0.555033948,7.13838826,0.795851299,32.20041563,80.96705564,68.8916613,-75.24562977,-6.742495604,-43.60004002,-26.79103077,38.41491738,22.83366363
Temperate_Corn_MTT_NotAvailable,5.876391196,-0.784996079,21.14884923,8.268494042,5.60134483,80.96705564,68.8916613,-75.24562977,-6.742495604,-38.09604964,-26.79103077,41.05992679,22.83366363
Temperate_Corn_OtherCC_Coarse,-18.7270419,-2.215237691,16.09085218,4.545238178,-9.811782474,36.90006804,66.83834654,-75.24562977,-6.742495604,-30.93331655,381.5771898,-11.25910505,6.159764314
Temperate_Corn_OtherCC_Fine,-18.7270419,-1.45999347,-17.0285832,47.63853974,38.32647356,36.90006804,66.83834654,-75.24562977,-6.742495604,-68.43331655,381.5771898,3.709621562,-34.66315717
Temperate_Corn_OtherCC_Medium,-23.55573038,0,4.12111702,-9.187881935,55.93510934,36.90006804,66.83834654,-75.24562977,-6.742495604,-69.65915634,381.5771898,51.57062314,53.40951733
Temperate_Corn_OtherCC_NotAvailable,-5.895725979,-0.636843466,3.153861864,4.061180853,5.60134483,36.90006804,66.83834654,-75.24562977,-6.742495604,-11.81773183,376.2976608,5.895839245,12.21625565
Temperate_CS_Grass_Coarse,0.074273285,-0.087907799,7.002509263,2.706508684,8.156771661,80.31104113,11.03004227,-78.47606578,-73.38584211,-15.11409818,-33.65478747,5.965366595,13.99345874
Temperate_CS_Grass_Fine,0.074273285,-1.371046588,4.848955672,7.84209676,13.79013731,43.14484665,11.03004227,-78.47606578,-73.38584211,-51.76664989,-33.65478747,22.85978032,36.58121912
Temperate_CS_Grass_Medium,0.074273285,-2.442714029,3.596081896,-28.56469561,21.53556951,51.55749614,11.03238895,-78.47606578,-73.38584211,-77.69460497,-33.65478747,9.078522511,44.59270449
Temperate_CS_Grass_NotAvailable,0.074273285,-0.784996079,0.9313761,-7.197268111,5.60134483,80.31104113,11.03004227,-78.47606578,-73.38584211,-45.0885915,-33.65478747,9.410299109,16.49081648
Temperate_CS_Legume_Coarse,8.694383024,-1.724916714,6.995119786,23.34406505,-8.947554337,87.6263052,133.4397531,-78.47606578,-73.38584211,-14.63484051,-91.9991887,-2.020076329,28.14456809
Temperate_CS_Legume_Fine,8.694383024,-5.560089558,36.54138101,39.28036582,41.40272503,67.39627906,133.4397531,-78.47606578,-73.38584211,-61.83925116,-91.9991887,16.76865251,20.12071025
Temperate_CS_Legume_Medium,8.694383024,-0.5463331,10.03119446,17.65409981,34.07232935,129.0155316,133.4397531,-78.47606578,-73.38584211,-31.97793262,-91.9991887,17.189191,110.3772966
Temperate_CS_Legume_NotAvailable,8.694383024,-1.285989616,11.03501448,18.09009131,5.60134483,88.23657666,133.4397531,-78.47606578,-73.38584211,47.43421752,-91.9991887,16.44832819,33.25267695
Temperate_CS_MTT_Coarse,1.21439307,-1.333601253,8.998924001,19.21278965,17.97130226,80.96705564,58.53203773,-78.47606578,-73.38584211,-14.63484051,-26.79103077,35.31671009,25.70598677
Temperate_CS_MTT_Fine,1.21439307,-4.359221671,10.01896803,27.2335517,38.32647356,80.96705564,58.53203773,-78.47606578,-73.38584211,-61.83925116,-26.79103077,60.37009122,17.91889527
Temperate_CS_MTT_Medium,1.21439307,-0.055668126,9.580408172,0.795851299,32.20041563,80.96705564,58.53203773,-78.47606578,-73.38584211,-43.60004002,-26.79103077,38.41491738,22.83366363
Temperate_CS_MTT_NotAvailable,1.21439307,-0.784996079,21.14884923,8.268494042,5.60134483,80.96705564,58.53203773,-78.47606578,-73.38584211,-38.09604964,-26.79103077,41.05992679,22.83366363
Temperate_CS_OtherCC_Coarse,-7.968371721,-2.215237691,16.09085218,4.545238178,-9.811782474,36.90006804,66.83834654,-78.47606578,-73.38584211,-30.93331655,124.4271403,-11.25910505,6.159764314
Temperate_CS_OtherCC_Fine,-7.968371721,-1.45999347,-17.0285832,47.63853974,38.32647356,36.90006804,66.83834654,-78.47606578,-73.38584211,-68.43331655,124.4271403,3.709621562,-34.66315717
Temperate_CS_OtherCC_Medium,-7.968371721,-0.459610926,21.80827131,-9.187881935,55.93510934,36.90006804,66.83834654,-78.47606578,-73.38584211,-69.65915634,124.4271403,51.57062314,53.40951733
Temperate_CS_OtherCC_NotAvailable,-7.968371721,-0.379726556,5.975244982,1.717300904,5.60134483,36.90006804,66.83834654,-78.47606578,-73.38584211,-11.81773183,124.4271403,5.895839245,12.21625565
Temperate_CSW_Grass_Coarse,1.17306027,-0.087907799,7.002509263,2.706508684,8.156771661,80.31104113,25.16471133,-78.47606578,-73.38584211,-15.11409818,-33.65478747,5.965366595,13.99345874
Temperate_CSW_Grass_Fine,1.17306027,-1.371046588,4.848955672,7.84209676,13.79013731,43.14484665,25.16471133,-78.47606578,-73.38584211,-51.76664989,-33.65478747,22.85978032,36.58121912
Temperate_CSW_Grass_Medium,1.17306027,-1.928159725,3.596081896,-28.56469561,23.35950142,88.8231245,25.16471133,-78.47606578,-73.38584211,30.4751379,-33.65478747,9.078522511,44.59270449
Temperate_CSW_Grass_NotAvailable,1.17306027,-0.784996079,0.9313761,-7.197268111,5.60134483,80.31104113,25.16471133,-78.47606578,-73.38584211,-45.0885915,-33.65478747,9.410299109,16.49081648
Temperate_CSW_Legume_Coarse,8.694383024,-1.724916714,6.995119786,23.34406505,-8.947554337,87.6263052,147.5627354,-78.47606578,-73.38584211,-14.63484051,-91.9991887,-2.020076329,28.14456809
Temperate_CSW_Legume_Fine,8.694383024,-5.560089558,36.54138101,39.28036582,41.40272503,67.39627906,147.5627354,-78.47606578,-73.38584211,-61.83925116,-91.9991887,16.76865251,20.12071025
Temperate_CSW_Legume_Medium,8.694383024,0.055986689,10.03119446,17.65409981,34.07232935,129.0155316,147.5627354,-78.47606578,-73.38584211,-31.97793262,-91.9991887,17.189191,110.3772966
Temperate_CSW_Legume_NotAvailable,8.694383024,-1.285989616,11.03501448,18.09009131,5.60134483,88.23657666,147.5627354,-78.47606578,-73.38584211,47.43421752,-91.9991887,16.44832819,33.25267695
Temperate_CSW_MTT_Coarse,1.21439307,-1.333601253,8.998924001,19.21278965,17.97130226,80.96705564,58.53203773,-78.47606578,-73.38584211,-14.63484051,-26.79103077,35.31671009,25.70598677
Temperate_CSW_MTT_Fine,1.21439307,-4.359221671,20.75961274,27.2335517,38.32647356,80.96705564,58.53203773,-78.47606578,-73.38584211,-61.83925116,-26.79103077,60.37009122,17.91889527
Temperate_CSW_MTT_Medium,1.21439307,-0.055668126,9.580408172,0.795851299,32.20041563,80.96705564,58.53203773,-78.47606578,-73.38584211,-43.60004002,-26.79103077,38.41491738,22.83366363
Temperate_CSW_MTT_NotAvailable,1.21439307,-0.784996079,21.14884923,8.268494042,5.60134483,80.96705564,58.53203773,-78.47606578,-73.38584211,-38.09604964,-26.79103077,41.05992679,22.83366363
Temperate_CSW_OtherCC_Coarse,-7.968371721,-2.215237691,16.09085218,4.545238178,-9.811782474,36.90006804,66.83834654,-78.47606578,-73.38584211,-30.93331655,124.4271403,-11.25910505,6.159764314
Temperate_CSW_OtherCC_Fine,-7.968371721,-1.45999347,-17.0285832,47.63853974,38.32647356,36.90006804,66.83834654,-78.47606578,-73.38584211,-68.43331655,124.4271403,3.709621562,-34.66315717
Temperate_CSW_OtherCC_Medium,-7.968371721,-0.459610926,21.80827131,-9.187881935,55.93510934,36.90006804,66.83834654,-78.47606578,-73.38584211,-69.65915634,124.4271403,51.57062314,53.40951733
Temperate_CSW_OtherCC_NotAvailable,-7.968371721,-0.379726556,5.975244982,1.717300904,5.60134483,36.90006804,66.83834654,-78.47606578,-73.38584211,-11.81773183,124.4271403,5.895839245,12.21625565
Temperate_Other_Grass_Coarse,-3.692479916,-0.60558492,4.582507047,5.362176924,8.156771661,80.31104113,25.16471133,-52.2274426,-38.26914639,-15.11409818,-33.65478747,2.09058838,11.33068608
Temperate_Other_Grass_Fine,3.135343169,-1.368384031,3.828247389,6.40490041,13.08756751,43.14484665,25.16471133,-52.2274426,-38.26914639,-51.76664989,-33.65478747,23.0899195,36.58121912
Temperate_Other_Grass_Medium,-2.256271899,-3.895452357,2.158632678,-12.30363924,23.35950142,88.8231245,25.16471133,-75.24562977,155.1109384,-77.69460497,-33.65478747,-4.734136123,68.35401359
Temperate_Other_Grass_NotAvailable,0.59432592,-0.784996079,1.005929198,0.135970597,5.60134483,80.31104113,25.16471133,-78.82100293,-60.90534108,-46.72789544,-33.65478747,9.410299109,16.49081648
Temperate_Other_Legume_Coarse,15.72555354,-0.626282218,5.94251493,4.699813205,23.35285009,87.6263052,133.4397531,-48.52941707,-74.07846635,-14.63484051,-91.9991887,-2.020076329,28.14456809
Temperate_Other_Legume_Fine,4.953990485,-5.560089558,43.75366504,51.63068516,50.72521694,63.17059863,133.4397531,-48.52941707,-78.33942737,-61.83925116,-91.9991887,16.76865251,20.12071025
Temperate_Other_Legume_Medium,4.651631479,-3.41492402,8.457351264,5.524296421,34.04464954,129.0155316,133.4397531,-48.52941707,-73.55855409,-31.97793262,-91.9991887,17.01687818,110.3772966
Temperate_Other_Legume_NotAvailable,17.24174177,1.51393157,15.72431796,18.17254006,5.60134483,88.23657666,133.4397531,-48.52941707,-74.07846635,47.43421752,-91.9991887,16.44832819,33.25267695
Temperate_Other_MTT_Coarse,-6.542254178,-1.190033229,6.444725648,6.262241681,10.80007838,80.96705564,138.8624455,-47.76111615,-45.77679599,-14.63484051,-26.79103077,53.96188206,25.83113718
Temperate_Other_MTT_Fine,-6.693964523,-3.65237908,15.62931029,21.51056611,38.32647356,80.96705564,138.8624455,-47.76111615,-45.77679599,-61.83925116,-26.79103077,60.37009122,17.91889527
Temperate_Other_MTT_Medium,3.666669933,-0.129759515,10.17405017,0.805896937,32.20041563,80.96705564,138.8624455,-47.76111615,-45.77679599,-43.69362402,-26.79103077,38.66984201,22.83366363
Temperate_Other_MTT_NotAvailable,-0.395014444,-0.784996079,15.98811133,8.268494042,-8.823612915,80.96705564,138.8624455,-47.76111615,-45.77679599,-38.09604964,-26.79103077,41.05992679,22.83366363
Temperate_Other_OtherCC_Coarse,-17.89401238,-2.23605017,15.94490667,4.495333487,-9.841843537,36.90006804,66.83834654,-48.52941707,-37.72492863,-30.93331655,24.77317382,-11.39015724,6.195878825
Temperate_Other_OtherCC_Fine,6.518358343,2.910312587,-13.46019263,2.67279976,38.32647356,36.90006804,66.83834654,-48.52941707,-37.72492863,-68.43331655,24.77317382,3.709621562,-34.66315717
Temperate_Other_OtherCC_Medium,1.296278239,-6.305811016,28.65165466,8.040746478,55.95891833,36.90006804,66.83834654,-48.52941707,-37.72492863,-69.65915634,24.5608592,51.57062314,53.40951733
Temperate_Other_OtherCC_NotAvailable,-13.412806,-0.00046785,7.30392073,0.544665939,5.60134483,36.90006804,66.83834654,-48.52941707,-37.72492863,-11.81773183,24.77317382,5.895839245,12.21625565
Temperate_Soybean_Grass_Coarse,-5.287900155,0.856545869,7.892150531,2.706508684,8.156771661,80.31104113,25.16471133,-88.22645113,-84.30416735,-15.11409818,-33.65478747,5.965366595,13.99345874
Temperate_Soybean_Grass_Fine,-7.746076216,-1.371046588,-0.482529006,7.84209676,13.79013731,43.14484665,25.16471133,-88.22645113,-84.30416735,-51.76664989,-33.65478747,22.85978032,36.58121912
Temperate_Soybean_Grass_Medium,-12.35077811,0,4.678427493,-28.56469561,23.35950142,88.8231245,25.16471133,-88.2023212,-84.36153823,50.76184514,-33.65478747,9.078522511,44.59270449
Temperate_Soybean_Grass_NotAvailable,-7.746076216,-0.784996079,0.9313761,-7.197268111,5.60134483,80.31104113,25.16471133,-88.22645113,-84.30416735,-45.0885915,-33.65478747,9.410299109,16.49081648
Temperate_Soybean_Legume_Coarse,8.694383024,-1.724916714,6.995119786,23.34406505,-19.42266759,87.6263052,133.4397531,-88.27759784,-84.30143307,-14.63484051,-91.9991887,2.995420325,28.14456809
Temperate_Soybean_Legume_Fine,8.694383024,-5.560089558,36.54138101,39.28036582,28.93809678,71.92022908,133.4397531,-88.27759784,-84.30143307,-61.83925116,-91.9991887,16.76865251,20.12071025
Temperate_Soybean_Legume_Medium,8.694383024,-0.555033948,5.625056994,17.65409981,34.07232935,129.0155316,133.4397531,-88.27759784,-84.30143307,-31.97793262,-91.9991887,17.189191,110.3772966
Temperate_Soybean_Legume_NotAvailable,8.694383024,-1.285989616,11.03501448,18.09009131,5.60134483,88.23657666,133.4397531,-88.27759784,-84.30143307,47.43421752,-91.9991887,16.44832819,33.25267695
Temperate_Soybean_MTT_Coarse,1.21439307,-3.75052267,11.19423548,19.21278965,17.97130226,80.96705564,58.53203773,-88.27759784,-84.30143307,-14.63484051,-26.79103077,35.31671009,25.70598677
Temperate_Soybean_MTT_Fine,1.21439307,-4.359221671,20.75961274,27.2335517,38.32647356,80.96705564,58.53203773,-88.27759784,-84.30143307,-61.83925116,-26.79103077,60.37009122,17.91889527
Temperate_Soybean_MTT_Medium,1.21439307,-0.555033948,5.311431563,0.795851299,32.20041563,80.96705564,58.53203773,-88.27759784,-84.30143307,-43.60004002,-26.79103077,38.41491738,22.83366363
Temperate_Soybean_MTT_NotAvailable,1.21439307,-0.784996079,21.14884923,8.268494042,5.60134483,80.96705564,58.53203773,-88.27759784,-84.30143307,-38.09604964,-26.79103077,41.05992679,22.83366363
Temperate_Soybean_OtherCC_Coarse,-0.481640422,-2.215237691,16.09085218,4.545238178,-9.811782474,36.90006804,66.83834654,-88.27759784,-84.30143307,-30.93331655,191.097688,-11.25910505,6.159764314
Temperate_Soybean_OtherCC_Fine,-0.481640422,-1.45999347,-17.0285832,47.63853974,38.32647356,36.90006804,66.83834654,-88.27759784,-84.30143307,-68.43331655,191.097688,3.709621562,-34.66315717
Temperate_Soybean_OtherCC_Medium,-0.481640422,0,1.078100412,-9.187881935,55.93510934,36.90006804,66.83834654,-88.27759784,-84.30143307,-69.65915634,191.097688,51.57062314,53.40951733
Temperate_Soybean_OtherCC_NotAvailable,-0.597501821,-0.379726556,5.975244982,1.717300904,5.60134483,36.90006804,66.83834654,-88.27759784,-84.30143307,-11.81773183,194.6145765,5.895839245,12.21625565
Temperate_Vegetable_Grass_Coarse,-10.83883057,-1.502746366,12.11299129,8.797427598,8.156771661,80.31104113,61.47272984,-78.47606578,-73.38584211,-15.11409818,-33.99065964,22.99511851,36.75775063
Temperate_Vegetable_Grass_Fine,10.98674296,-1.371046588,4.848955672,7.84209676,13.79013731,43.14484665,61.47272984,-78.47606578,-73.38584211,-51.76664989,-33.99065964,22.85978032,36.58121912
Temperate_Vegetable_Grass_Medium,34.56928224,-1.181087676,5.299717141,-43.03152064,23.35950142,88.8231245,61.47272984,-78.47606578,-73.38584211,-77.69460497,-33.72913484,40.03921948,33.75869589
Temperate_Vegetable_Grass_NotAvailable,-1.187107836,-0.784996079,0.9313761,-7.921070913,5.60134483,80.31104113,61.47272984,-78.47606578,-73.38584211,-40.2684948,-33.99065964,9.410299109,16.49081648
Temperate_Vegetable_Legume_Coarse,26.3322605,-8.01338302,4.570345691,13.21692786,6.23955195,87.6263052,133.4397531,-78.47606578,-73.38584211,-14.63484051,-68.06767125,-5.438623036,28.32180175
Temperate_Vegetable_Legume_Fine,-28.05856044,-5.560089558,36.54138101,39.28036582,41.40272503,67.39627906,133.4397531,-78.47606578,-73.38584211,-61.83925116,-68.06767125,16.76865251,20.12071025
Temperate_Vegetable_Legume_Medium,77.39640928,3.581587785,27.04724723,17.65409981,34.07232935,129.0155316,133.4397531,-78.47606578,-73.38584211,-31.97793262,-67.97185998,17.189191,110.3772966
Temperate_Vegetable_Legume_NotAvailable,-45.55971838,-1.285989616,11.03501448,18.09009131,5.60134483,88.23657666,133.4397531,-78.47606578,-73.38584211,47.43421752,-68.06767125,16.44832819,33.25267695
Temperate_Vegetable_MTT_Coarse,6.840332576,-2.278526504,20.40979247,12.13637935,21.38766744,80.96705564,58.53203773,-78.47606578,-73.38584211,-14.63484051,-26.79103077,19.06393397,25.70598677
Temperate_Vegetable_MTT_Fine,5.660648456,-4.359221671,15.38519894,13.06296521,38.32647356,80.96705564,58.53203773,-78.47606578,-73.38584211,-61.83925116,-26.79103077,79.6775909,17.91889527
Temperate_Vegetable_MTT_Medium,7.445752303,-0.055668126,9.580408172,0.795851299,32.20041563,80.96705564,58.53203773,-78.47606578,-73.38584211,-43.60004002,-26.79103077,38.41491738,22.83366363
Temperate_Vegetable_MTT_NotAvailable,5.660648456,-0.784996079,33.21995455,8.268494042,26.05930279,80.96705564,58.53203773,-78.47606578,-73.38584211,-38.09604964,-26.79103077,41.05992679,22.83366363
Temperate_Vegetable_OtherCC_Coarse,6.239573398,-2.215237691,16.09085218,4.545238178,-9.811782474,36.90006804,66.83834654,-78.47606578,-73.38584211,-30.93331655,-28.73477137,-11.25910505,6.159764314
Temperate_Vegetable_OtherCC_Fine,6.239573398,-5.473066735,-9.871589303,73.51004166,38.32647356,36.90006804,66.83834654,-78.47606578,-73.38584211,-68.43331655,-28.73477137,3.709621562,-34.66315717
Temperate_Vegetable_OtherCC_Medium,7.408146997,3.546552079,25.63406675,-24.50165351,55.93510934,36.90006804,66.83834654,-78.47606578,-73.38584211,-69.65915634,-28.85438008,51.85497859,53.61599313
Temperate_Vegetable_OtherCC_NotAvailable,2.672021275,-0.379726556,5.975244982,1.717300904,5.60134483,36.90006804,66.83834654,-78.47606578,-73.38584211,-11.81773183,-28.73477137,5.895839245,12.21625565
Temperate_Wheat_Grass_Coarse,-1.102680853,-0.087907799,7.002509263,2.706508684,8.156771661,80.31104113,25.16471133,-78.47606578,-73.38584211,-38.62562424,-33.65478747,5.965366595,13.99345874
Temperate_Wheat_Grass_Fine,-1.102680853,-1.371046588,4.848955672,7.84209676,13.79013731,43.14484665,25.16471133,-78.47606578,-73.38584211,-51.76664989,-33.65478747,22.85978032,36.58121912
Temperate_Wheat_Grass_Medium,-3.4068503,-1.928159725,3.955119081,-28.56469561,23.35950142,88.8231245,25.16471133,-78.47606578,-73.38584211,-77.69460497,-33.65478747,9.078522511,44.59270449
Temperate_Wheat_Grass_NotAvailable,7.163302045,-0.784996079,0.9313761,-7.197268111,5.60134483,80.31104113,25.16471133,-78.47606578,-73.38584211,-45.0885915,-33.65478747,9.410299109,16.49081648
Temperate_Wheat_Legume_Coarse,8.694383024,-1.724916714,6.995119786,23.34406505,-8.947554337,87.6263052,133.4397531,-78.47606578,-73.38584211,-14.63484051,-91.9991887,-2.020076329,28.14456809
Temperate_Wheat_Legume_Fine,8.694383024,-5.560089558,36.54138101,39.28036582,41.40272503,67.39627906,133.4397531,-78.47606578,-73.38584211,-61.83925116,-91.9991887,16.76865251,20.12071025
Temperate_Wheat_Legume_Medium,8.694383024,-0.5463331,-1.393823753,17.65409981,34.07232935,129.0155316,133.4397531,-78.47606578,-73.38584211,-31.97793262,-91.9991887,17.189191,110.3772966
Temperate_Wheat_Legume_NotAvailable,8.694383024,-1.285989616,11.03501448,18.09009131,5.60134483,88.23657666,133.4397531,-78.47606578,-73.38584211,47.43421752,-91.9991887,16.44832819,33.25267695
Temperate_Wheat_MTT_Coarse,10.89890687,-1.333601253,8.998924001,19.21278965,17.97130226,80.96705564,58.53203773,-78.47606578,-73.38584211,-14.63484051,-26.79103077,35.31671009,25.70598677
Temperate_Wheat_MTT_Fine,-4.846127279,-3.153413931,33.93970413,28.5763318,38.32647356,80.96705564,58.53203773,-78.47606578,-73.38584211,-61.83925116,-26.79103077,25.14619992,17.91889527
Temperate_Wheat_MTT_Medium,13.03789922,-0.055668126,9.580408172,0.795851299,32.20041563,80.96705564,58.53203773,-78.47606578,-73.38584211,-43.60004002,-26.79103077,38.41491738,22.83366363
Temperate_Wheat_MTT_NotAvailable,10.89890687,-0.784996079,21.14884923,8.268494042,5.60134483,80.96705564,58.53203773,-78.47606578,-73.38584211,-38.09604964,-26.79103077,41.05992679,22.83366363
Temperate_Wheat_OtherCC_Coarse,3.862001426,-2.215237691,16.09085218,4.545238178,-9.811782474,36.90006804,66.83834654,-78.47606578,-73.38584211,-30.93331655,124.4271403,-11.25910505,6.159764314
Temperate_Wheat_OtherCC_Fine,3.862001426,-1.45999347,-17.0285832,47.63853974,38.32647356,36.90006804,66.83834654,-78.47606578,-73.38584211,-68.43331655,124.4271403,3.709621562,-34.66315717
Temperate_Wheat_OtherCC_Medium,11.713564,-0.459610926,21.80827131,-9.187881935,55.93510934,36.90006804,66.83834654,-78.47606578,-73.38584211,-69.65915634,124.4271403,51.57062314,53.40951733
